gene.number	Podan2	Neucr2	Spoth2	PenchWisc1_1	Aniger	Penox1	Talst1_2	Trire2	Aoryz	Anidul	ratio
An03g00960	1	0	1	1	1	1	1	1	1	1	0.9
An11g01660	1	1	1	1	1	1	1	1	1	1	1
An05g01320	1	0	1	1	1	1	1	1	1	1	0.9
An16g07410	1	1	1	1	1	1	1	1	1	1	1
An12g05150	1	1	1	1	1	1	1	1	1	1	1
An12g07430	1	1	1	1	1	1	1	1	1	1	1
An12g02220	1	1	1	1	1	1	1	1	1	1	1
An08g01760	1	1	1	1	1	1	1	1	1	1	1
An12g10780	1	1	1	1	1	1	1	1	1	1	1
An14g05490	1	1	1	1	1	1	1	1	1	1	1
An11g03290	1	1	1	1	1	1	1	1	1	1	1
An02g00120	1	0	1	1	1	1	1	1	1	1	0.9
An05g02280	1	1	0	1	1	0	1	1	1	1	0.8
An03g02090	0	0	0	1	1	0	1	1	1	1	0.6
An07g08950	1	1	1	1	1	1	0	1	1	1	0.9
An01g11670	1	1	1	1	1	1	0	1	1	1	0.9
An12g04610	1	1	1	1	1	1	0	1	1	1	0.9
An03g05260	0	0	0	1	1	1	0	1	1	1	0.6
An16g05710	0	0	1	1	1	0	0	1	1	1	0.6
An09g00260	0	0	0	1	1	0	0	1	1	1	0.5
An02g00230	1	0	0	0	1	1	1	0	1	1	0.6
An01g14940	0	0	0	1	1	1	1	0	1	1	0.6
An13g02060	0	0	0	0	1	0	1	0	1	1	0.4
An14g02100	0	0	0	0	1	0	1	0	1	1	0.4
An12g04480	1	1	1	1	1	1	0	0	1	1	0.8
An04g07110	1	1	1	1	1	1	0	0	1	1	0.8
An03g05620	0	1	0	1	1	1	0	0	1	1	0.6
An15g07760	1	0	1	1	1	1	0	0	1	1	0.7
An12g09180	0	0	1	1	1	1	0	0	1	1	0.6
An11g00390	0	0	0	1	1	1	0	0	1	1	0.5
An08g10800	1	1	0	1	1	0	0	0	1	1	0.6
An18g01570	0	1	0	1	1	0	0	0	1	1	0.5
An15g04750	0	0	0	1	1	0	0	0	1	1	0.4
An15g00800	0	0	0	1	1	0	0	0	1	1	0.4
An15g07670	1	0	1	0	1	0	0	0	1	1	0.5
An01g05900	1	0	0	0	1	0	0	0	1	1	0.4
An11g01550	1	1	1	1	1	1	1	1	0	1	0.9
An03g01170	1	0	1	1	1	0	1	1	0	1	0.7
An09g01920	1	1	0	1	1	1	1	1	0	1	0.8
An09g01830	1	1	0	1	1	1	1	1	0	1	0.8
An11g06290	0	0	0	0	1	1	0	1	0	1	0.4
An19g00100	0	1	0	0	1	1	1	0	0	1	0.5
An10g00110	1	0	0	1	1	0	1	0	0	1	0.5
An07g02360	1	0	0	1	1	0	0	0	0	1	0.4
An11g07120	0	0	0	1	1	0	0	0	0	1	0.3
An03g01760	0	0	0	0	1	0	0	0	0	1	0.2
An16g08090	0	0	0	1	1	1	1	0	1	1	0.6
An01g06500	0	0	0	1	1	1	1	0	1	1	0.6
An14g03520	0	0	0	1	1	1	1	0	1	1	0.6
An12g10390	1	1	1	1	1	1	1	0	1	1	0.9
An04g02780	1	1	1	1	1	1	1	0	1	1	0.9
An14g01350	0	0	0	1	1	1	1	0	1	1	0.6
An18g00040	0	0	0	1	1	1	1	0	1	1	0.6
An12g00950	0	0	0	0	1	1	1	0	1	1	0.5
An14g04200	0	0	0	0	1	1	1	0	1	1	0.5
An01g09050	1	1	1	1	1	1	1	1	1	1	1
An01g06610	1	1	1	1	1	1	1	1	1	1	1
An11g07010	1	1	0	1	1	1	1	1	1	1	0.9
An02g10700	1	1	0	1	1	1	1	1	1	1	0.9
An13g01300	1	1	1	1	1	1	1	1	1	1	1
An03g01570	1	1	1	1	1	0	1	1	1	1	0.9
An17g00760	1	1	1	1	1	1	1	1	1	1	1
An06g00310	1	1	1	1	1	1	1	1	1	1	1
An05g01860	1	1	0	1	1	0	1	1	1	1	0.8
An11g06350	1	1	0	1	1	0	1	1	1	1	0.8
An05g01870	1	1	0	1	1	0	1	1	1	1	0.8
An01g00490	1	1	1	1	1	1	1	0	1	1	0.9
An05g02390	1	1	1	1	1	1	1	0	1	1	0.9
An02g06090	1	1	1	1	1	1	1	0	1	1	0.9
An08g12250	0	0	0	1	1	0	1	0	1	1	0.5
An18g00440	0	0	0	1	1	0	1	0	1	1	0.5
An11g03070	1	0	1	1	1	0	1	0	1	1	0.7
An02g09270	1	1	1	1	1	1	0	0	1	1	0.8
An10g00390	1	1	1	1	1	1	0	0	1	1	0.8
An12g01910	0	0	0	1	1	1	0	0	1	1	0.5
An03g00460	1	1	0	1	1	0	0	0	1	1	0.6
An02g13180	1	1	1	1	1	1	1	1	1	1	1
An01g01750	1	0	1	1	1	1	1	1	1	1	0.9
An03g01010	1	0	1	1	1	1	1	1	1	1	0.9
An11g01110	1	0	1	1	1	1	1	1	1	1	0.9
An11g01180	0	0	0	1	1	1	1	1	1	1	0.7
An01g12400	1	1	1	1	1	1	1	1	1	1	1
An07g08720	1	1	1	1	1	1	1	1	1	1	1
An07g08100	1	1	1	1	1	1	1	1	1	1	1
An16g01730	1	1	1	1	1	1	1	1	1	1	1
An14g03990	1	1	1	1	1	1	1	1	1	1	1
An14g02740	1	1	1	1	1	1	1	1	1	1	1
An15g02070	0	0	1	1	1	1	1	1	1	1	0.8
An03g01390	0	0	1	1	1	1	1	1	1	1	0.8
An08g05010	1	1	1	1	1	1	1	1	1	1	1
An02g07430	1	1	1	1	1	1	1	1	1	1	1
An09g05920	1	1	0	0	1	1	1	1	1	1	0.8
An16g04170	1	1	1	1	1	1	1	1	1	1	1
An01g02430	1	1	1	1	1	1	1	1	1	1	1
An02g00730	0	0	0	1	1	1	1	1	1	1	0.7
An09g05120	1	0	1	1	1	1	1	1	1	1	0.9
An02g09690	1	0	1	1	1	1	1	1	1	1	0.9
An12g06560	1	0	1	1	1	1	1	1	1	1	0.9
An01g14520	1	1	1	1	1	1	1	1	1	1	1
An07g03730	1	1	1	1	1	1	1	1	1	1	1
An16g01880	1	1	1	1	1	1	1	1	1	1	1
An09g02180	1	1	1	1	1	1	1	1	1	1	1
An01g13590	1	1	1	1	1	1	1	1	1	1	1
An03g00940	1	1	1	1	1	1	1	1	1	1	1
An15g00410	1	1	1	1	1	1	1	1	1	1	1
An01g11740	1	1	1	1	1	1	1	1	1	1	1
An09g05970	1	1	1	1	1	1	1	1	1	1	1
An08g01800	1	1	0	1	1	1	1	1	1	1	0.9
An08g02590	1	0	0	1	1	1	1	1	1	1	0.8
An04g03830	0	0	0	1	1	1	1	1	1	1	0.7
An07g04470	1	1	1	1	1	0	1	1	1	1	0.9
An16g08070	1	1	1	1	1	0	1	1	1	1	0.9
An16g06420	1	0	1	1	1	0	1	1	1	1	0.8
An13g03000	1	0	1	1	1	0	1	1	1	1	0.8
An01g01920	0	0	0	1	1	0	0	1	1	1	0.5
An01g01560	0	0	0	1	1	0	0	1	1	1	0.5
An01g09510	0	1	1	0	1	0	0	1	1	1	0.6
An02g04900	0	1	0	1	1	1	1	0	1	1	0.7
An01g11520	0	1	0	1	1	1	1	0	1	1	0.7
An16g06990	0	1	0	1	1	1	1	0	1	1	0.7
An13g02480	0	0	0	1	1	1	1	0	1	1	0.6
An09g02560	0	0	0	1	1	1	1	0	1	1	0.6
An11g03800	0	0	0	1	1	1	1	0	1	1	0.6
An16g05660	1	1	1	1	1	1	1	0	1	1	0.9
An12g10770	1	1	1	1	1	1	1	0	1	1	0.9
An01g00330	1	1	1	1	1	1	1	0	1	1	0.9
An07g08030	0	0	0	1	1	1	1	0	1	1	0.6
An05g02170	0	0	0	1	1	1	1	0	1	1	0.6
An12g02550	1	1	1	1	1	1	1	0	1	1	0.9
An09g02160	1	1	1	1	1	1	1	0	1	1	0.9
An02g12350	1	0	0	1	1	1	1	0	1	1	0.7
An14g01120	0	0	0	1	1	1	1	0	1	1	0.6
An06g02160	0	0	0	1	1	0	1	0	1	1	0.5
An02g13630	0	0	0	1	1	0	1	0	1	1	0.5
An05g01210	0	0	0	0	1	0	1	0	1	1	0.4
An13g00460	0	0	0	1	1	1	0	0	1	1	0.5
An02g13770	0	0	0	1	1	1	0	0	1	1	0.5
An04g06730	0	1	1	1	1	1	0	0	1	1	0.7
An15g00920	0	1	1	1	1	1	0	0	1	1	0.7
An16g00500	0	0	0	1	1	1	0	0	1	1	0.5
An11g00110	0	0	0	1	1	1	0	0	1	1	0.5
An04g09360	0	0	1	1	1	1	0	0	1	1	0.6
An08g01720	0	0	1	1	1	1	0	0	1	1	0.6
An06g00160	0	0	0	1	1	1	0	0	1	1	0.5
An16g09010	0	0	0	1	1	1	0	0	1	1	0.5
An15g06560	0	0	0	1	1	1	0	0	1	1	0.5
An08g09610	1	1	1	1	1	0	0	0	1	1	0.7
An15g04760	1	1	1	1	1	0	0	0	1	1	0.7
An08g08560	0	0	0	0	1	0	0	0	1	1	0.3
An07g00230	1	1	1	1	1	0	0	0	1	1	0.7
An12g01000	0	0	0	1	1	0	0	0	1	1	0.4
An11g04030	0	0	0	1	1	0	0	0	1	1	0.4
An15g07160	0	0	0	0	1	0	0	0	1	1	0.3
An01g00600	0	0	0	0	1	0	0	0	1	1	0.3
An15g07700	1	0	1	1	1	1	1	1	1	1	0.9
An11g06540	0	0	0	0	1	1	1	1	1	1	0.6
An01g01170	1	1	0	1	1	0	1	1	1	1	0.8
An09g06400	0	0	0	1	1	1	1	1	1	1	0.7
An15g00630	1	1	1	1	1	1	1	1	1	1	1
An15g02300	0	1	0	1	1	1	1	1	1	1	0.8
An02g08330	1	1	1	1	1	0	1	1	1	1	0.9
An15g05230	1	1	1	1	1	1	1	1	1	1	1
An09g05690	1	1	1	1	1	1	1	1	1	1	1
An16g02000	0	0	0	1	1	1	1	1	1	1	0.7
An18g01410	1	1	1	1	1	1	1	1	1	1	1
An03g00740	1	1	1	1	1	1	1	1	1	1	1
An14g04710	1	1	1	1	1	1	1	1	1	1	1
An01g04110	1	1	1	1	1	1	1	1	1	1	1
An03g02960	1	1	1	1	1	1	1	1	1	1	1
An09g02240	1	1	1	1	1	1	1	1	1	1	1
An01g04560	1	1	1	1	1	1	1	1	1	1	1
An18g05500	1	1	1	1	1	1	1	1	1	1	1
An03g05290	1	1	1	1	1	1	1	1	1	1	1
An11g00920	1	1	1	1	1	1	1	1	1	1	1
An16g02760	0	0	0	0	1	0	0	1	1	1	0.4
An02g08910	1	1	1	1	1	1	1	1	1	1	1
An04g00430	1	1	1	1	1	1	1	1	1	1	1
An04g08680	1	1	1	1	1	1	1	1	1	1	1
An16g01850	1	1	1	1	1	1	1	1	1	1	1
An01g01430	0	1	0	1	1	1	1	1	1	1	0.8
An12g01340	1	1	1	1	1	1	1	1	1	1	1
An08g10750	1	1	1	1	1	1	1	1	1	1	1
An06g01950	1	1	1	1	1	1	1	1	1	1	1
An16g04710	1	1	1	1	1	1	1	1	1	1	1
An07g09160	1	1	1	1	1	1	1	1	1	1	1
An04g02020	1	1	1	1	1	1	1	1	1	1	1
An07g04070	1	1	1	1	1	1	1	1	1	1	1
An16g04420	1	1	1	1	1	1	1	1	1	1	1
An16g07920	1	1	1	1	1	1	1	1	1	1	1
An08g00470	1	1	1	1	1	1	1	1	1	1	0.833333333
An16g06810	1	1	1	1	1	1	1	1	1	1	1
An12g08380	1	1	1	1	1	1	1	1	1	1	0.833333333
An11g06160	1	1	1	1	1	1	1	1	1	1	1
An09g04580	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g03460	1	1	1	1	1	1	1	1	1	1	1
An01g05230	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g01550	1	1	1	1	1	1	1	1	1	1	1
An06g01920	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g13750	1	1	1	1	1	1	1	1	1	1	1
An09g01580	1	1	1	1	1	1	1	1	1	1	0.833333333
An16g02850	1	1	1	1	1	1	1	1	1	1	1
An12g08630	1	1	1	1	1	1	1	1	1	1	0.833333333
An08g00430	1	1	1	1	1	1	1	1	1	1	1
An11g04760	1	1	1	1	1	1	1	1	1	1	0.833333333
An08g03590	1	1	1	1	1	1	1	1	1	1	1
An04g07160	1	1	0	1	1	1	1	1	1	1	0.75
An07g07560	1	1	0	1	1	1	1	1	1	1	0.9
An02g03310	1	1	0	1	1	1	1	1	1	1	0.75
An01g12350	1	1	1	1	1	0	1	1	1	1	0.9
An12g05960	1	1	1	0	1	0	1	1	1	1	0.666666667
An02g00530	0	0	1	1	1	1	1	1	1	1	0.8
An17g00230	1	1	1	1	1	1	1	1	1	1	0.833333333
An18g00410	1	1	0	1	1	1	1	1	1	1	0.9
An15g07520	0	0	0	1	1	1	1	1	1	1	0.583333333
An06g01960	1	1	1	1	1	1	1	1	1	1	1
An07g07600	1	1	1	1	1	1	1	1	1	1	0.833333333
An15g05510	1	1	1	1	1	1	1	1	1	1	1
An11g00690	1	1	1	1	1	1	1	1	1	1	0.833333333
An01g06280	1	1	1	1	1	1	1	1	1	1	1
An15g01880	1	1	1	1	1	1	1	1	1	1	0.833333333
An08g01180	1	1	1	1	1	1	1	1	1	1	1
An03g06650	1	1	1	1	1	1	1	1	1	1	0.833333333
An15g05120	1	0	1	1	1	1	1	1	1	1	0.9
An01g06910	1	0	1	1	1	1	1	1	1	1	0.75
An07g06010	1	1	1	1	1	1	1	1	1	1	1
An11g06930	1	1	1	1	1	1	1	1	1	1	0.833333333
An10g00400	1	1	1	1	1	1	1	1	1	1	1
An04g02880	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g00250	1	1	1	1	1	1	1	1	1	1	1
An01g08530	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g06530	1	1	1	1	1	1	1	1	1	1	1
An01g07790	1	1	1	1	1	1	1	1	1	1	0.833333333
An06g01510	1	1	1	1	1	1	1	1	1	1	1
An15g06820	1	1	1	1	1	1	1	1	1	1	0.833333333
An16g03950	1	1	1	1	1	1	1	1	1	1	1
An15g01420	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g04620	1	1	1	1	1	1	1	1	1	1	1
An09g05170	1	1	1	1	1	1	1	1	1	1	0.833333333
An16g03340	1	1	1	1	1	1	1	1	1	1	1
An09g05660	1	1	1	1	1	1	1	1	1	1	0.833333333
An15g01200	1	1	1	1	1	1	1	1	1	1	1
An15g03080	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g07270	1	1	1	1	1	1	1	1	1	1	1
An04g01230	1	1	1	1	1	1	1	1	1	1	0.833333333
An14g03220	1	1	1	1	1	1	1	1	1	1	1
An01g06630	1	1	1	1	1	1	1	1	1	1	0.833333333
An09g06450	1	1	1	1	1	1	1	1	1	1	1
An15g02810	1	1	1	1	1	1	1	1	1	1	0.833333333
An01g09110	1	1	1	1	1	1	1	1	1	1	1
An01g13630	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g04640	1	1	1	1	1	1	1	1	1	1	1
An04g01610	1	1	1	1	1	1	1	1	1	1	0.833333333
An15g01760	1	1	1	1	1	1	1	1	1	1	1
An11g10370	1	1	1	1	1	1	1	1	1	1	0.833333333
An18g06470	1	1	1	1	1	1	1	1	1	1	1
An02g11910	1	1	1	1	1	1	1	1	1	1	0.833333333
An11g05000	1	1	1	1	1	1	1	1	1	1	1
An03g02660	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g05640	1	1	1	1	1	1	1	1	1	1	1
An01g08280	1	1	1	1	1	1	1	1	1	1	0.833333333
An01g13390	1	1	1	1	1	1	1	1	1	1	1
An01g08590	1	1	1	1	1	1	1	1	1	1	0.833333333
An01g13530	1	1	1	1	1	1	1	1	1	1	1
An01g04600	1	1	1	1	1	1	1	1	1	1	0.833333333
An01g08420	1	1	1	1	1	1	1	1	1	1	1
An04g05430	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g07360	1	1	1	1	1	1	1	1	1	1	1
An01g03350	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g02180	1	1	1	1	1	1	1	1	1	1	1
An16g08470	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g06020	1	1	1	1	1	1	1	1	1	1	1
An08g08750	1	1	1	1	1	1	1	1	1	1	0.833333333
An06g01830	1	1	1	1	1	1	1	1	1	1	1
An07g09170	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g08730	1	1	1	1	1	1	1	1	1	1	1
An02g13150	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g03270	1	1	1	1	1	1	1	1	1	1	1
An02g05890	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g04300	1	1	1	1	1	1	1	1	1	1	1
An02g04070	1	1	1	1	1	1	1	1	1	1	0.833333333
An05g00880	1	1	1	1	1	1	1	1	1	1	1
An18g02020	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g14880	1	1	1	1	1	1	1	1	1	1	1
An04g02650	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g03740	1	1	1	1	1	1	1	1	1	1	1
An02g06610	1	1	1	1	1	1	1	1	1	1	0.833333333
An16g07040	1	1	1	1	1	1	1	1	1	1	1
An02g09940	1	1	1	1	1	1	1	1	1	1	0.833333333
An18g05910	1	1	1	1	1	1	1	1	1	1	1
An18g06580	1	1	1	1	1	1	1	1	1	1	0.833333333
An08g08040	1	1	1	1	1	1	1	1	1	1	1
An04g06310	1	1	1	1	1	1	1	1	1	1	0.833333333
An08g01090	1	1	1	1	1	1	1	1	1	1	1
An07g06430	1	1	1	1	1	1	1	1	1	1	0.833333333
An05g00570	1	1	1	1	1	1	1	1	1	1	1
An07g02870	1	1	1	1	1	1	1	1	1	1	0.833333333
An09g06130	1	1	1	1	1	1	1	1	1	1	1
An08g07070	1	1	1	1	1	1	1	1	1	1	0.833333333
An15g06470	1	1	1	1	1	1	1	1	1	1	1
An01g04330	1	1	1	1	1	1	1	1	1	1	0.833333333
An06g01200	1	1	1	1	1	1	1	1	1	1	1
An03g02770	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g14280	1	1	1	1	1	1	1	1	1	1	1
An09g03940	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g09720	1	1	1	1	1	1	1	1	1	1	1
An14g00150	1	1	1	1	1	1	1	1	1	1	0.833333333
An03g06880	1	1	1	1	1	1	1	1	1	1	1
An01g12550	1	1	1	1	1	1	1	1	1	1	0.833333333
An14g00900	1	1	1	1	1	1	1	1	1	1	1
An08g00560	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g07390	1	1	1	1	1	1	1	1	1	1	1
An01g06670	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g04940	1	1	1	1	1	1	1	1	1	1	1
An03g04500	1	1	1	1	1	1	1	1	1	1	0.833333333
An14g06190	1	1	1	1	1	1	1	1	1	1	1
An07g08400	1	1	1	1	1	1	1	1	1	1	0.833333333
An11g06770	1	1	1	1	1	1	1	1	1	1	1
An12g00580	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g05010	1	1	1	1	1	1	1	1	1	1	1
An16g05580	1	1	1	1	1	1	1	1	1	1	0.833333333
An02g02720	1	1	1	1	1	1	1	1	1	1	1
An07g07830	1	1	1	1	1	1	1	1	1	1	0.833333333
An11g10210	1	1	1	1	1	1	1	1	1	1	1
An11g06900	1	1	1	1	1	1	1	1	1	1	0.833333333
An03g03770	1	1	1	1	1	1	1	1	1	1	1
An13g00300	1	1	1	1	1	1	1	1	1	1	0.833333333
An14g00620	1	1	1	1	1	1	1	1	1	1	1
An18g04210	1	1	1	1	1	1	1	1	1	1	0.833333333
An07g08250	1	1	1	1	1	1	1	1	1	1	1
An18g02210	1	1	1	1	1	1	1	1	1	1	0.833333333
An04g04990	1	1	1	1	1	1	1	1	1	1	1
